#{"t_start": 1719057381.053993, "env_id": "LunarLander-v2"}
r,l,t
-108.554029,106,0.509252
-117.451045,75,0.528467
-304.181573,62,0.543628
-130.043086,102,0.570366
-138.751004,85,0.594372
-88.749716,75,0.615487
-140.875525,93,0.638814
-384.438282,123,0.669189
-441.791272,95,0.695723
-430.165834,89,0.716468
-93.318675,93,0.740442
-221.684865,124,0.771047
-363.364321,114,0.801422
-109.796273,102,0.826509
-88.347097,112,0.8559
-327.406578,90,0.879931
-52.605282,80,0.901804
-386.83187,100,0.925159
-109.421196,87,0.947138
-156.003619,59,0.964028
-96.967806,78,0.986779
-135.522139,86,1.008516
-433.978332,84,1.028891
-123.939204,105,1.057543
-187.92488,96,1.086741
-49.078068,64,1.103867
-144.053366,81,1.12846
-240.591543,102,1.155132
-74.834812,61,1.174505
-412.399617,77,1.195842
-75.33374,70,1.215598
-146.457748,117,1.246366
-265.989911,90,1.270995
-139.310901,77,1.290589
-257.33184,118,1.322064
-174.189724,111,1.35007
-111.700136,95,1.376623
-199.404339,134,1.424284
-110.202134,120,1.464118
-171.72798,63,1.485498
-113.065236,137,1.526212
-237.118973,72,1.544301
-281.550958,101,1.57111
-271.47155,88,1.596728
-195.265111,107,1.624457
-56.303151,69,1.641677
-293.194352,98,1.665123
-82.486129,112,1.691238
-256.870769,84,1.715068
-107.83551,107,1.741006
-92.435552,71,1.757015
-209.812187,70,1.772535
-113.999775,93,1.794532
-303.4758,99,1.816347
-21.412366,86,1.837841
-476.206596,95,1.866536
-381.155476,109,1.896311
-143.778743,95,1.917913
-173.720034,73,1.988029
-297.317479,71,2.007339
-113.750645,88,2.03192
-376.255567,95,2.056288
-122.163564,134,2.094372
-220.842757,138,2.127079
-87.479267,105,2.150865
-46.873533,84,2.168779
-151.820404,78,2.195571
-92.283973,82,2.221458
-91.084244,99,2.249683
-86.197889,80,2.268478
-97.818398,64,2.283031
-238.433938,88,2.304426
-240.351573,94,2.330177
-260.368992,91,2.351247
-113.135922,79,2.36977
-333.249219,112,2.3959
-129.768113,115,2.428217
-82.051434,60,2.443004
-132.489036,144,2.478901
-281.05914,98,2.500367
-241.490558,129,2.590414
-265.958992,102,2.623813
-228.420018,86,2.64508
-103.736034,82,2.665172
-265.658462,106,2.69698
-478.955626,136,2.746366
-214.32377,83,2.775225
-70.45929,71,2.806475
-322.275181,106,2.845752
-91.551591,64,2.862848
-39.848789,63,2.879261
-337.64344,100,2.904234
-131.593923,81,2.926487
-150.050636,105,2.951414
-84.791364,78,2.974804
-60.288471,101,3.001403
-102.582682,109,3.036846
-473.941486,143,3.07262
-118.689292,107,3.097856
-163.733772,130,3.130037
-146.040258,86,3.152886
-341.911344,103,3.182071
-148.080616,102,3.206126
-138.909576,78,3.232568
-394.237674,105,3.26276
-91.289511,85,3.283838
-135.568729,120,3.325737
-140.1584,109,3.352888
-195.961288,88,3.377091
-142.793385,98,3.399871
-62.529425,67,3.416019
-112.684973,75,3.435675
-106.853724,68,3.45229
-92.254906,96,3.476908
-100.384739,84,3.498728
-46.834,137,3.533899
-275.581941,76,3.55335
-89.78327,92,3.575228
-71.703021,145,3.607544
-162.255875,127,3.635704
-212.88344,104,3.661268
-120.574245,103,3.685597
-288.483847,122,3.712245
-130.098554,112,3.738599
-261.750265,121,3.77061
-134.769738,94,3.794747
-199.990476,81,3.814734
-279.539724,89,3.837647
-270.061248,108,3.864956
-219.27516,105,3.888543
-85.120997,102,3.911963
-239.070279,81,3.931666
-74.88077,79,3.951271
-98.472713,142,3.984709
-49.161489,62,3.99916
-99.879367,62,4.01338
-84.95197,75,4.031964
-439.68135,131,4.061484
-321.938006,152,4.09427
-145.617275,62,4.108043
-219.628841,102,4.132018
-176.169084,117,4.171219
-125.595213,106,4.205994
-86.456552,97,4.237484
-49.028247,100,4.278683
-102.222941,101,4.308153
-84.055916,91,4.335629
-133.10153,108,4.370125
-119.439538,154,4.420059
-86.37818,93,4.454055
-99.768188,71,4.477932
-337.317584,137,4.512676
-120.364296,128,4.544197
-218.706041,136,4.577391
-231.960387,127,4.610233
68.744952,1000,4.870273
-151.980923,155,4.90987
-137.256138,138,4.943363
-167.822354,69,4.960358
-218.550451,99,4.984744
-128.35741,134,5.020337
-113.259332,108,5.046616
-64.842536,117,5.074216
-33.482191,124,5.105131
-243.963793,106,5.14435
-148.506655,78,5.170862
-247.841739,131,5.207504
-84.491735,142,5.242717
-109.81519,172,5.288548
-105.938577,103,5.313903
-90.770408,82,5.332968
-266.884825,130,5.367868
-43.206511,75,5.390893
-79.122268,82,5.417987
-77.255833,134,5.474085
-118.365345,124,5.515948
-160.74069,123,5.55622
-71.960315,125,5.589232
-92.78857,101,5.614444
-99.201371,141,5.648547
-238.202158,136,5.683263
-263.502179,108,5.710744
-180.819531,111,5.736722
-12.167063,88,5.758236
-186.697987,140,5.794249
-298.597247,85,5.815481
-184.021872,108,5.842357
-134.579869,90,5.86481
-124.781613,100,5.891552
-43.862711,143,5.926203
-77.137159,133,5.96102
-222.98529,142,5.994449
-239.793434,123,6.026614
-212.479047,99,6.05114
-155.222223,87,6.07139
-197.570631,103,6.096519
-81.1838,81,6.118524
-66.246386,98,6.144826
-346.875085,111,6.175459
-59.985153,109,6.203269
-209.297108,75,6.223765
-51.856611,127,6.255631
-199.967029,138,6.28948
-79.493217,74,6.306415
-105.298022,102,6.333818
-75.098872,100,6.357337
-344.920167,136,6.392632
-193.373074,94,6.418204
-111.766258,114,6.452554
-69.987916,103,6.480836
-70.246555,108,6.508367
-164.362098,88,6.531371
-97.695196,109,6.561862
-176.776091,119,6.591905
-169.380748,143,6.626909
-157.313288,131,6.660129
35.039337,90,6.684589
-94.758055,73,6.701985
-312.294884,145,6.736617
-73.697641,125,6.770796
-128.302842,88,6.803714
-155.683061,76,6.821922
-59.427661,94,6.845582
-58.691609,83,6.866412
-122.808318,131,6.899362
-193.310606,138,6.934807
-119.354641,152,6.971298
-175.002128,74,6.990229
-178.79867,96,7.019259
-65.857873,120,7.054993
