#{"t_start": 1719057678.082829, "env_id": "LunarLander-v2"}
r,l,t
-153.731506,106,0.026016
-279.883225,66,0.039774
-197.453399,98,0.059826
-240.19341,70,0.074634
-235.331424,109,0.097762
-7.359298,93,0.118072
-350.774066,77,0.134322
-164.658479,88,0.152426
-86.267487,95,0.171281
-104.799917,80,0.18736
-106.328316,151,0.217895
-24.562101,118,0.242522
-159.970179,96,0.261896
-184.931992,86,0.278937
-252.284918,95,0.298485
-117.603257,73,0.313456
-195.670059,79,0.329582
-330.765139,114,0.35215
-186.305433,62,0.364364
-261.02582,86,0.381538
-208.709401,84,0.399311
-112.779172,69,0.412933
-100.349068,60,0.86641
-127.90525,65,0.880218
-92.836954,63,0.89393
-51.68024,68,0.908244
-131.163827,111,0.931251
-146.177402,113,0.954448
-439.585714,100,0.974836
-102.791359,74,0.990259
-168.360086,128,1.016239
-422.572613,92,1.034759
-310.293692,84,1.052115
-118.740163,82,1.068775
-201.168205,80,1.084188
-309.176051,105,1.105239
-309.635842,92,1.123929
34.444987,133,1.151619
-375.055708,115,1.174594
-345.47104,102,1.195207
-239.745741,117,1.218514
-91.684323,77,1.234252
-75.890049,80,1.250547
-87.162081,96,1.270441
-250.177089,104,1.744869
-420.168555,126,1.771253
-110.629265,61,1.784004
-243.220681,82,1.800687
-158.150807,96,1.819439
-124.348514,60,1.832242
-228.883199,107,1.854815
-144.220994,100,1.874668
-310.951941,80,1.891441
-122.391683,78,1.907265
-111.410902,80,1.924051
-133.985354,118,1.948131
-304.879103,127,1.974208
-62.527308,61,1.986883
-234.928046,102,2.00818
-140.67963,75,2.023959
-209.033943,77,2.03991
-366.047811,131,2.067117
-365.066589,112,2.089521
-267.924264,90,2.107565
-388.793617,114,2.130049
-126.076185,96,2.148189
-319.113359,127,2.612844
-134.766095,100,2.633475
-169.438096,104,2.654527
-228.392628,115,2.678076
-105.476741,119,2.702333
-120.30353,94,2.721515
-274.374024,101,2.74245
-109.897238,65,2.756043
-86.162835,101,2.776873
-277.62066,120,2.801427
-260.699552,115,2.82426
-104.610679,100,2.845062
-136.431113,85,2.862454
-177.626559,100,2.881513
-32.916771,69,2.895256
-113.581923,76,2.91053
-342.87373,111,2.932267
-323.229685,140,2.960611
-238.973571,86,2.977799
-149.453767,82,2.994699
-104.459696,120,3.498307
-98.024525,98,3.519587
-111.816169,120,3.544938
-192.133755,122,3.571046
-213.208617,77,3.587592
-117.849201,78,3.603869
-98.094031,73,3.619659
-227.503869,146,3.650354
-98.724269,75,3.666124
-173.560286,91,3.685091
-111.630619,107,3.706666
-86.662377,75,3.722262
-106.015944,120,3.747818
-178.179007,114,3.771981
-182.882084,101,3.792768
-74.239254,63,3.805914
-130.422315,70,3.820238
-8.558081,130,3.846518
16.883211,104,3.867314
-107.031466,80,3.883768
-169.221864,112,3.905986
-155.007232,89,4.374265
15.688484,143,4.405053
-99.573472,100,4.426159
-113.772427,149,4.457375
-131.705398,100,4.478326
-63.961677,94,4.497749
-114.859208,63,4.511241
-141.515679,95,4.530604
-109.905522,90,4.549068
-125.968173,71,4.563743
-136.997251,64,4.576181
-90.295068,101,4.596343
-211.131288,139,4.624041
-159.18562,98,4.643275
-127.477838,91,4.661789
-98.513286,68,4.675724
-184.744704,163,4.708106
-168.47198,79,4.724064
-329.910209,137,4.751423
-116.614062,110,4.77384
-93.727135,82,5.218771
-67.186839,114,5.242688
-64.029749,124,5.268099
-66.393394,79,5.284598
-72.804038,68,5.298505
-243.211617,141,5.327027
-89.872179,126,5.352775
-103.652584,114,5.375944
-101.037532,76,5.391937
-167.676546,108,5.414105
-208.015349,112,5.44141
-77.853614,76,5.462495
-31.278046,73,5.483232
-97.238276,119,5.512568
-107.707267,77,5.533159
-72.871571,71,5.548447
-100.756591,86,5.570205
-307.411344,134,5.598767
-120.722226,89,5.618218
-89.144087,100,5.641768
-309.67003,205,6.559149
-77.283543,94,6.57887
-134.098531,84,6.597047
-108.781172,97,6.617361
-72.629552,68,6.631638
-120.493194,96,6.65176
-126.226321,89,6.670356
-70.832288,72,6.685466
-143.542643,112,6.708337
-45.509851,118,6.735232
-104.230832,117,6.758555
-138.230877,156,6.789403
-174.212434,107,6.811139
-86.157886,87,6.829104
-44.876482,83,6.845953
-21.817434,96,6.8653
-140.509022,113,6.887404
-43.934172,129,6.913489
-55.83946,110,6.934931
-173.995725,101,6.954644
-195.917496,87,7.400796
-105.926233,75,7.416361
-107.618355,117,7.442754
-70.20911,93,7.462227
-108.625488,134,7.489093
-63.744465,69,7.503692
-159.398345,119,7.528114
-123.145223,179,7.565455
-100.18771,112,7.587884
-135.240394,108,7.609722
-14.369113,149,7.64068
-82.985614,148,7.670559
